4400,-1266
4200,-1266
4000,-1266
3800,-1266
3600,-1266
3400,-1266
3200,-1266
3000,-1266
2800,-1266
2600,-1266
2400,-1266
2200,-1266
2000,-1266
1800,-1266
1600,-1266
1400,-1266
1200,-1266
1000,-1266
800,-1266
600,-1266
400,-1266
200,-1266
0,-1266
-200,-1266
-400,-1266
-600,-1266
-800,-1266
-1000,-1266
-1200,-1266
-1400,-1266
-1600,-1266
-1800,-1266
4400,-1066
4400,-866
4400,-666
4400,-466
4400,-266
4400,-66
4400,166
4400,366
3343,-472
3343,-272
3343,-72
3343,72
3343,272
3343,472
3343,672
3343,872
3443,972
3543,1072
3643,1172
3843,1172
4043,1172
4243,1172
4443,1172
4643,1172
460,-6
310,143
260,303
258,463
328,603
408,713
518,833
628,893
778,893
938,903
1108,903
1248,903
1368,783
1448,683
1448,533
1448,393
1448,243
1368,113
1238,-16
928,1638
1058,1768
1168,1878
1298,1938
1438,1938
1618,1918
1798,1808
1978,1718
2168,1588
2308,1578
2478,1588
2588,1678
2678,1778
2728,1898
2798,2068
2898,2218
2988,2318
3098,2298
3238,2168
3358,2008
3448,1838
3488,1748
-1077,-1075
-957,-975
-787,-835
-747,-675
-787,-525
-887,-385
-1027,-205
-1157,-55
-1287,104
-1437,174
-1587,294
-1747,384
-1917,464
-1997,564
-1997,674
-1887,784
-1797,934
-1687,1114
-1547,1284
-1427,1464
-1367,1614
-1337,1814
-1913,-1084
-2013,-984
-2113,-834
