100,1328
-770,2198
-359,2558
-269,2118
361,1798
611,2258
961,2488
1411,2418
1141,2148
901,1908
1111,1648
1391,1928
1671,2208
1961,2498
1561,2418
2051,1928
1811,1398
1451,1038
1021,1008
-2608,-1504
-1278,-1164
-958,-1504
-848,-1214
-598,-1464
-318,-1234
-718,-864
-398,-694
-108,-984
422,-1514
42,-1274
845,-1496
1025,-1136
3189,-1636
2729,-1496
2159,-1666
1569,-1356
1999,-1026
2129,424
3399,274
4019,24
4459,464
3919,534
3639,844
4181,752
4641,1122
3761,1122
3231,802
2601,1032
2791,1382
3261,1182
2901,1982
3041,2392
3421,2212
3191,1972
3551,1832
3801,1562
4121,1882
3881,2122
4301,2122
4701,1722
4531,2272
