3560,-1405
3520,-1295
3370,-1145
3320,-965
3380,-815
3510,-625
3830,-245
3980,-55
4140,34
4290,74
4420,144
4550,204
4650,274
3314,-472
3114,-392
2994,-342
2814,-302
2654,-302
2514,-302
2354,-302
1924,-302
1734,-302
1544,-462
1464,-602
1334,-752
1264,-952
1264,-1112
1264,-1262
1264,-1462
3669,-17
3489,103
3299,193
3129,183
2889,191
2719,201
2329,231
2139,251
1999,311
1910,451
1820,591
1890,781
1980,931
2090,1101
2160,1241
2190,1391
2230,1581
2300,1721
2370,1891
2410,2051
2500,2231
2540,2341
2590,2461
2660,2701
1350,-338
1150,-388
950,-398
175,-309
-75,-379
-275,-430
-475,-430
-725,-460
-855,-540
-985,-670
-1145,-780
-1305,-850
-1485,-950
-1665,-1030
-1835,-1090
-1995,-1130
-2135,-1140
-2275,-1170
-2375,-1170
-2495,-1170
-2735,-1170
1646,562
1446,542
1246,522
359,482
159,502
-51,512
-271,552
-401,582
-591,672
-741,782
-881,942
-845,1148
-845,1338
-845,1498
-976,1652
-1076,1812
-1156,2002
-1216,2152
-1266,2322
-1356,2472
-1366,2682
1350,-338
1150,-388
950,-398
175,-309
-75,-379
-275,-430
-475,-430
-725,-460
-855,-540
-985,-670
-1145,-780
-1305,-850
-1485,-950
-1665,-1030
-1835,-1090
-1995,-1130
-2135,-1140
-2275,-1170
-2375,-1170
-2495,-1170
-2735,-1170
0,-186
-70,-26
-160,64
-110,204
10,334
